match_id,puuid,trait_TFT17_APTrait,trait_TFT17_AssassinTrait,trait_TFT17_BlitzcrankUniqueTrait,trait_TFT17_HPTank,trait_TFT17_ResistTank,trait_TFT17_ShieldTank,trait_TFT17_SpaceGroove,trait_TFT17_Stargazer_Wolf,trait_TFT17_TahmKenchUniqueTrait,trait_TFT17_Timebreaker,trait_TFT17_ADMIN,trait_TFT17_AnimaSquad,trait_TFT17_DarkStar,trait_TFT17_ManaTrait,trait_TFT17_SummonTrait,trait_TFT17_Astronaut,trait_TFT17_FlexTrait,trait_TFT17_Primordian,trait_TFT17_PsyOps,trait_TFT17_SonaUniqueTrait,trait_TFT17_Stargazer_Mountain,trait_TFT17_VexUniqueTrait,trait_TFT17_ASTrait,trait_TFT17_DRX,trait_TFT17_FioraUniqueTrait,trait_TFT17_Mecha,trait_TFT17_MeleeTrait,trait_TFT17_MorganaUniqueTrait,trait_TFT17_Fateweaver,trait_TFT17_GravesTrait,trait_TFT17_JhinUniqueTrait,trait_TFT17_RangedTrait,trait_TFT17_ShenUniqueTrait,trait_TFT17_ZedUniqueTrait,trait_TFT17_RhaastUniqueTrait,trait_TFT17_Stargazer_Shield,trait_TFT17_Stargazer_Medallion,trait_TFT17_Stargazer_Serpent,trait_TFT17_Stargazer_Huntress,trait_TFT17_MissFortuneUndeterminedTrait,trait_TFT17_MissFortuneUniqueTrait,trait_TFT17_Stargazer_Fountain,unit_TFT17_Gwen,unit_TFT17_Pantheon,unit_TFT17_Ornn,unit_TFT17_Nami,unit_TFT17_Nunu,unit_TFT17_Riven,unit_TFT17_TahmKench,unit_TFT17_Blitzcrank,unit_TFT17_Nasus,unit_TFT17_Leona,unit_TFT17_Lissandra,unit_TFT17_Zoe,unit_TFT17_Mordekaiser,unit_TFT17_Illaoi,unit_TFT17_Leblanc,unit_TFT17_Summon,unit_TFT17_Teemo,unit_TFT17_IvernMinion,unit_TFT17_Sona,unit_TFT17_Vex,unit_TFT17_Akali,unit_TFT17_Gragas,unit_TFT17_Maokai,unit_TFT17_Urgot,unit_TFT17_Kindred,unit_TFT17_MasterYi,unit_TFT17_Fiora,unit_TFT17_Morgana,unit_TFT17_Aatrox,unit_TFT17_Milio,unit_TFT17_Rammus,unit_TFT17_Jhin,unit_TFT17_Shen,unit_TFT17_Graves,unit_TFT17_Belveth,unit_TFT17_Zed,unit_TFT17_Fizz,unit_TFT17_Corki,unit_TFT17_Galio,unit_TFT17_Bard,unit_TFT17_Kaisa,unit_TFT17_Karma,unit_TFT17_RekSai,unit_TFT17_Rhaast,unit_TFT17_Poppy,unit_TFT17_TwistedFate,unit_TFT17_Jax,unit_TFT17_Lulu,unit_TFT17_Briar,unit_TFT17_Chogath,unit_TFT17_Caitlyn,unit_TFT17_Xayah,unit_TFT17_Viktor,unit_TFT17_Aurora,unit_TFT17_MissFortune,unit_TFT17_Pyke,unit_TFT17_Ezreal,unit_TFT17_Gnar,unit_TFT17_AurelionSol,unit_TFT17_Samira,unit_TFT17_Talon,unit_TFT17_Jinx,unit_TFT17_Veigar,unit_TFT17_PVE_ElderDragon,unit_tft17_bardfollower,unit_TFT17_Diana,placement,level
VN2_1375789757,fit1q1Lcjwl_jXzhwuS0b9d18-vIz7wYZPnXC3MDJJm78YJSpBWLbZJx_zKxzD8XCyRh9qaRb8xXaw,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9
VN2_1375770068,fit1q1Lcjwl_jXzhwuS0b9d18-vIz7wYZPnXC3MDJJm78YJSpBWLbZJx_zKxzD8XCyRh9qaRb8xXaw,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,8
VN2_1375736140,gkl3_5JoEqjyEG2uN3IZOWuX19oQWcbbcEOMoQzLXqquXNQb2Nc1o_sl5hFtFItiRP6Fj5iRZam57Q,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7
VN2_1375693061,K9rlQ_e90dDaI9SY-hrMB9IwmDbDNs0CealXKPxVPkOFTFv8HhwqQo44OKV1pC-BRIObnSvAAqejUQ,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9
VN2_1375655500,oczv0xGXIZLZfZ0IfV3qS_jRsThRV6TWDpwtdfRowOGRpHHEbfpn5YeHSkTVuiEHqS_VnfMOqHrU2g,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8
VN2_1375247709,0ZB2FpVdURG0BfKEvQzLeckNf3d1GFTUjQzZHONNTbPW3NHqVpxIg3qa_SI3yG6F1KYVG-7Miv6vWg,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9
VN2_1375192090,vdfyD5vBoEAMfFDX7NViBws573SboLFZcSD9MEc48Wwdud0XwAN8KSGzOhFe5SJSDajxtMeqoQScVw,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,9
VN2_1375133473,eEufxIMt5Uhh-1CJVb5iBY-JO6q8AxCB9dzw1JERQLKYQjkPkUgd66A0ZowB-HwGBM3vH4qXjp_yfQ,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9
VN2_1375089151,eEufxIMt5Uhh-1CJVb5iBY-JO6q8AxCB9dzw1JERQLKYQjkPkUgd66A0ZowB-HwGBM3vH4qXjp_yfQ,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9
VN2_1375044431,eEufxIMt5Uhh-1CJVb5iBY-JO6q8AxCB9dzw1JERQLKYQjkPkUgd66A0ZowB-HwGBM3vH4qXjp_yfQ,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,9
